,1_0_1,1_0_2
ABF2_46_109,4644,3561
ABF2_118_181,7711,5564
ABF2_48_111,4181,3169
ABF2_117_180,6857,4953
ACA1_381_444,1407,971
ACA1_383_446,1734,1203
ACA1_382_445,1534,1099
ACE2_601_664,9079,6341
ADR1_100_163,6042,4048
AFT2_42_105,7368,5366
AFT2_85_148,9767,7170
ARG80_79_142,17541,10804
ARG80_76_139,15521,9934
ARG80_88_151,12596,7934
ARR1_223_286,10143,7311
ARR1_15_78,5492,4173
ASG1_7_70,7868,5702
ASH1_488_551,9216,6860
AZF1_572_635,11927,8219
AZF1_600_663,9468,6570
AZF1_628_691,6593,4905
AZF1_658_721,5663,4116
AZF1_598_661,8284,5666
AZF1_638_701,6741,5097
BAS1_160_223,7102,5105
BAS1_106_169,6835,4683
BAS1_44_107,8904,5877
BAS1_107_170,7356,5054
BAS1_131_194,6628,4532
CAD1_36_99,2976,2254
CAD1_346_409,8224,6053
CAD1_42_105,3839,2727
CAD1_40_103,4092,2795
CBF1_215_278,9829,6573
CBF1_220_283,6336,4542
CBF1_216_279,9088,6339
CIN5_232_295,3327,2413
CMR3_251_314,6270,4571
COM2_380_443,6691,4952
CRZ1_548_611,8222,5861
CRZ1_576_639,6369,4652
CRZ1_562_625,6341,4580
CST6_422_485,3781,2817
CST6_424_487,4702,3478
CST6_423_486,4193,3141
CTH1_186_249,6472,4895
CTH1_224_287,6696,4829
CTH1_187_250,5733,4483
CUP2_1_64,12028,7287
CUP9_168_231,8175,5980
CUP9_164_227,9502,6692
CUP9_160_223,8271,5633
DAL80_16_79,11929,7584
DAL80_18_81,9864,6345
DAL80_25_88,9521,6378
DOT6_63_126,10978,7033
ECM23_120_183,4503,3275
ENV11_78_141,5323,3970
ENV11_77_140,3565,2662
FHL1_469_532,9581,7200
FHL1_307_370,9346,6460
FHL1_296_359,10489,7438
FHL1_472_535,8665,6257
FHL1_473_536,8730,6338
FKH1_314_377,9543,6607
FKH1_88_151,9806,6656
FKH1_78_141,9827,6578
FKH1_315_378,8884,6032
FKH1_316_379,7788,5438
FKH2_351_414,8941,6165
FKH2_97_160,7797,5540
FKH2_86_149,7307,5363
FKH2_353_416,7451,5379
FZF1_1_64,3265,2156
FZF1_52_115,4533,3297
FZF1_22_85,1539,1133
FZF1_51_114,4272,3174
FZF1_135_198,8938,6344
FZF1_228_291,12637,8675
FZF1_16_79,2105,1311
FZF1_45_108,5625,3995
GAT1_295_358,13373,8773
GAT1_40_103,14097,9480
GAT1_297_360,10245,6467
GAT1_300_363,11628,7613
GAT3_56_119,11368,7735
GAT3_62_125,10878,7721
GAT3_61_124,9534,6725
GAT4_46_109,11298,7658
GCN4_218_281,6394,4542
GCR1_643_706,14636,9426
GIS1_827_890,3650,2753
GLN3_291_354,6803,4937
GLN3_293_356,7845,5719
GLN3_296_359,4956,3602
GTS1_181_244,7835,5499
GTS1_182_245,8298,5895
GTS1_174_237,8042,5519
GZF3_116_179,10745,7711
GZF3_118_181,9296,6624
GZF3_123_186,7655,5623
HAA1_1_64,7374,5065
HAC1_26_89,7251,5499
HAP2_155_218,7450,5119
HAP3_41_104,10331,7039
HAP4_41_104,9950,7119
HCM1_119_182,8243,6294
HCM1_120_183,11160,8015
HCM1_121_184,8198,5771
HEL2_53_116,9178,6658
HEL2_202_265,9886,6905
HEL2_230_293,10503,7376
HEL2_261_324,8388,6084
HEL2_51_114,10070,6988
HMLALPHA2_130_193,4042,2995
HMLALPHA2_134_197,4442,3191
HMO1_111_174,6006,4378
HMO1_112_175,4913,3491
HMO1_107_170,7561,5256
HMS1_274_337,4476,3641
HMS1_279_342,5602,4303
HMS1_286_349,6707,4764
HMS2_26_89,12751,8827
HMS2_25_88,14635,10033
HSF1_194_257,7735,5630
INO2_237_300,6868,4837
INO2_235_298,5160,3928
INO4_45_108,6068,4237
ITC1_417_480,8002,6030
ITC1_43_106,8535,6081
ITC1_421_484,6722,4974
IXR1_364_427,8298,6001
IXR1_436_499,6793,4663
IXR1_437_500,6822,4915
IXR1_366_429,6873,4871
IXR1_435_498,4692,3356
MAC1_1_64,7037,4746
MATALPHA1_81_144,5915,4486
MBP1_25_88,6556,4944
MBP1_394_457,10896,7409
MBP1_377_440,14856,10164
MBP1_413_476,9817,6887
MBP1_495_558,6168,4812
MBP1_33_96,6407,4483
MCM1_17_80,7135,5222
MCM1_14_77,8222,6063
MCM1_28_91,7047,4898
MDS3_155_218,11235,7819
MET28_99_162,4803,3433
MET28_104_167,5961,4164
MET28_103_166,5006,3346
MET31_91_154,5420,3831
MET32_94_157,6822,5180
MGA2_534_597,18702,12908
MGA2_710_773,6570,4871
MGA2_702_765,7651,5460
MGA2_735_798,6819,4667
MGA2_546_609,14686,10251
MGA2_720_783,9965,7135
MIG1_35_98,11561,7910
MIG2_14_77,7235,4873
MIG3_12_75,7743,5198
MOT2_26_89,12081,8096
MOT2_152_215,7616,5339
MOT2_28_91,10051,7427
MOT3_340_403,5437,4086
MSN1_286_349,7667,5552
MSN2_641_704,8514,6124
MSN4_567_630,6543,4613
NFI1_29_92,7462,5488
NFI1_326_389,10870,7716
NFI1_28_91,6799,5173
NFI1_342_405,10622,7401
NHP6A_24_87,10033,6857
NHP6A_16_79,9542,6075
NHP6B_30_93,6799,4645
NHP6B_23_86,7487,5253
NRG1_168_231,8718,5815
NRG2_150_213,5845,4118
NSI1_346_409,3290,2267
NSI1_275_338,5360,3885
NSI1_336_399,3744,2555
NSI1_411_474,7715,5315
NSI1_489_552,12416,8849
NSI1_324_387,6910,5086
OTU1_238_301,10837,7292
PDC2_73_136,9045,6974
PDC2_72_135,9231,6807
PHD1_199_262,10211,6412
PHD1_218_281,14112,9605
PHO2_74_137,5532,3926
PHO2_76_139,5429,4084
PHO2_68_131,6102,4415
PHO2_10_73,5785,4061
PHO4_247_310,18537,10498
PHO4_249_312,15936,9114
PLM2_95_158,10292,7248
PLM2_96_159,11816,7915
PLM2_86_149,11100,7741
PMD1_126_189,8744,6249
PZF1_87_150,8185,5631
PZF1_59_122,9475,6703
PZF1_345_408,2624,2103
PZF1_143_206,8301,5917
PZF1_30_93,7535,5192
PZF1_115_178,11840,8270
PZF1_142_205,9424,6704
PZF1_175_238,8276,6119
PZF1_201_264,8429,6068
PZF1_233_296,9042,6364
PZF1_33_96,8451,5783
PZF1_68_131,11714,7752
PZF1_114_177,9531,6529
PZF1_158_221,6541,4791
RAP1_355_418,12450,8890
RAP1_752_815,9611,6337
RAP1_136_199,10709,7384
RAP1_130_193,8393,5887
RAP1_354_417,10217,7713
RAP1_369_432,8330,5935
REB1_476_539,5566,3965
REB1_405_468,4859,3519
REB1_466_529,4660,3323
REB1_720_783,4410,3372
REB1_456_519,6021,4325
REB1_677_740,5099,3705
REI1_182_245,10697,7582
REI1_1_64,13382,8806
REI1_143_206,7869,5481
REI1_195_258,6539,4495
REI1_176_239,9904,7073
RFX1_289_352,6506,4792
RFX1_291_354,6281,4553
RGM1_15_78,9290,6537
RIM101_192_255,5892,4181
RIM101_127_190,5742,3721
RIM101_162_225,9335,6394
RIM101_191_254,6280,4495
RIM101_129_192,5908,3835
RIM101_184_247,6023,4319
RLM1_1_64,12443,8441
RME1_156_219,10820,7013
RME1_188_251,5277,3871
RME1_237_300,4638,3533
ROX1_16_79,5623,4106
ROX1_19_82,6097,4532
RPH1_702_765,6586,5048
RPN4_423_486,11466,8213
RSF2_145_208,17093,10683
RTG1_38_101,6542,4489
RTG1_24_87,7951,5338
RTG1_29_92,11510,7383
RTG3_283_346,6391,4546
RTG3_289_352,4380,3393
RTG3_295_358,4542,3364
SFL1_72_135,12821,8624
SFP1_606_669,6649,4824
SFP1_182_245,10808,7581
SFP1_579_642,5184,3670
SFP1_620_683,5612,3986
SIZ1_20_83,11666,8047
SIZ1_349_412,6706,5128
SIZ1_19_82,13277,9196
SIZ1_367_430,5720,4239
SKO1_421_484,5012,3740
SKO1_1_64,17760,11892
SKO1_431_494,5100,3715
SKO1_423_486,5876,4420
SMP1_1_64,8471,6320
SOK2_446_509,6726,4802
SPT10_156_219,4852,3419
SPT10_338_401,7697,5318
SPT15_164_227,9605,6981
SPT15_75_138,7901,5297
SPT15_79_142,6270,4613
SPT15_163_226,11129,8044
SPT23_513_576,9820,6420
SPT23_702_765,8684,6549
SPT23_692_755,7564,5567
SPT23_725_788,7353,5797
SPT23_522_585,12089,8565
SPT23_710_773,8496,5397
SRD1_157_220,5501,3765
STB3_51_114,6299,4744
STP1_139_202,9556,6989
STP1_180_243,14740,9001
STP1_143_206,12545,8540
STP2_183_246,9161,6167
STP2_224_287,10747,7541
STP2_188_251,11664,8191
STP3_137_200,12220,8276
STP4_283_346,10481,6643
STP4_255_318,11711,7800
STP4_401_464,11635,7735
STP4_270_333,9634,6416
SWI4_59_122,3372,2533
SWI4_503_566,5819,4541
SWI4_624_687,10283,7768
SWI4_70_133,4732,3532
SWI5_548_611,6762,4930
TBF1_405_468,5999,4443
TBF1_407_470,6641,4664
TDA9_57_120,10750,7426
TEC1_132_195,4317,3223
TEC1_127_190,5277,3889
