,1_0_1,1_0_2
Msn2_1_64,14245,14401
Msn2_6_69,11775,11543
Msn2_11_74,10951,10895
Msn2_16_79,16045,15966
Msn2_21_84,14357,13831
Msn2_26_89,16559,16333
Msn2_31_94,9386,9703
Msn2_36_99,15726,15516
Msn2_41_104,12534,12889
Msn2_46_109,18445,18191
Msn2_51_114,13244,12997
Msn2_56_119,12457,12444
Msn2_61_124,9651,10053
Msn2_66_129,13189,12785
Msn2_71_134,15485,15525
Msn2_76_139,18673,19009
Msn2_81_144,14240,14399
Msn2_86_149,12399,12175
Msn2_91_154,12794,12690
Msn2_96_159,11179,11186
Msn2_101_164,16756,16424
Msn2_106_169,8847,8684
Msn2_111_174,12731,13523
Msn2_116_179,13068,12792
Msn2_121_184,15089,14589
Msn2_126_189,6801,6620
Msn2_131_194,11552,11021
Msn2_136_199,14414,14851
Msn2_141_204,18866,18546
Msn2_146_209,18350,17972
Msn2_151_214,22410,22128
Msn2_156_219,17923,17726
Msn2_161_224,13954,13859
Msn2_166_229,14336,13904
Msn2_171_234,11910,11839
Msn2_176_239,14129,13795
Msn2_181_244,12454,12639
Msn2_186_249,12911,12420
Msn2_191_254,16522,16154
Msn2_196_259,12478,12865
Msn2_201_264,12566,11940
Msn2_206_269,15214,15303
Msn2_211_274,14914,14890
Msn2_216_279,12646,12320
Msn2_221_284,11556,11212
Msn2_226_289,13340,12883
Msn2_231_294,14216,13681
Msn2_236_299,14528,14250
Msn2_241_304,16718,16525
Msn2_246_309,19503,18889
Msn2_251_314,22529,22930
Msn2_256_319,17107,16544
Msn2_261_324,11941,11862
Msn2_266_329,13011,13147
Msn2_271_334,12585,12473
Msn2_276_339,13889,14232
Msn2_281_344,15593,15846
Msn2_286_349,12315,12506
Msn2_291_354,10339,10433
Msn2_296_359,13332,13387
Msn2_301_364,7123,6754
Msn2_306_369,6172,5823
Msn2_311_374,10899,10735
Msn2_316_379,4920,5119
Msn2_321_384,4400,4810
Msn2_326_389,7934,7757
Msn2_331_394,3211,3181
Msn2_336_399,9777,9645
Msn2_341_404,8242,8328
Msn2_346_409,8227,8248
Msn2_351_414,6592,6372
Msn2_356_419,5623,5703
Msn2_361_424,6369,6118
Msn2_366_429,9670,9808
Msn2_371_434,9305,9534
Msn2_376_439,12970,13484
Msn2_381_444,13134,12653
Msn2_386_449,9801,9950
Msn2_391_454,10616,10657
Msn2_396_459,15746,15482
Msn2_401_464,15841,15277
Msn2_406_469,11165,11264
Msn2_411_474,12661,12288
Msn2_416_479,13712,13452
Msn2_421_484,16223,15608
Msn2_426_489,12992,12599
Msn2_431_494,18022,17861
Msn2_436_499,11329,10727
Msn2_441_504,18759,18383
Msn2_446_509,16816,16817
Msn2_451_514,15262,15199
Msn2_456_519,15677,15438
Msn2_461_524,10995,11137
Msn2_466_529,15979,16387
Msn2_471_534,18534,18741
Msn2_476_539,17928,17829
Msn2_481_544,18081,17933
Msn2_486_549,18623,17914
Msn2_491_554,19654,19863
Msn2_496_559,20871,20579
Msn2_501_564,26245,25820
Msn2_506_569,21787,22286
Msn2_511_574,15681,15429
Msn2_516_579,25818,25726
Msn2_521_584,24232,25012
Msn2_526_589,32952,32699
Msn2_531_594,26353,27269
Msn2_536_599,24249,24097
Msn2_541_604,18293,17750
Msn2_546_609,20151,19504
Msn2_551_614,18459,18359
Msn2_556_619,13725,13652
Msn2_561_624,12629,12401
Msn2_566_629,10034,9562
Msn2_571_634,10163,10011
Msn2_576_639,8612,8419
Msn2_581_644,7022,6928
Msn2_586_649,7092,7039
Msn2_591_654,8818,8240
Msn2_596_659,4429,4301
Msn2_601_664,4901,4812
Msn2_606_669,6103,6050
Msn2_611_674,4230,4307
Msn2_616_679,4048,4417
Msn2_621_684,7279,7142
Msn2_626_689,14629,14659
Msn2_631_694,15287,14685
Msn2_636_699,10928,10640
Msn2_641_704,12799,12580
GSY1_1_64,13139,12111
GSY1_91_154,22589,22263
GSY1_181_244,15209,15416
GSY1_271_334,12890,12296
GSY1_361_424,12380,12315
GSY1_451_514,26313,25321
GSY1_541_604,8837,8724
HXK1_1_64,12404,12432
HXK1_91_154,12508,12426
HXK1_181_244,24636,24316
HXK1_271_334,14671,14235
HXK1_361_424,13066,12659
TDH3_1_64,20039,19598
TDH3_91_154,24601,24117
TDH3_181_244,36625,36465
