,1_0_1,1_0_2,1_60_1,1_60_2,2_0_1,2_0_2,2_60_1,2_60_2
ABF1_1_64,155,59,29,223,96,27,0,65
ABF1_12_75,556,74,67,449,590,8,346,77
ABF1_23_86,562,332,221,307,510,5,4,324
ABF1_34_97,166,66,153,506,202,114,147,266
ABF1_45_108,390,92,263,570,305,76,19,329
ABF1_56_119,121,490,146,430,186,388,248,559
ABF1_67_130,372,81,286,695,196,231,151,222
ABF1_78_141,628,179,212,373,140,53,247,133
ABF1_89_152,341,1,113,271,427,158,85,155
ABF1_100_163,712,34,392,496,247,187,354,488
ABF1_111_174,1076,383,222,819,887,87,337,496
ABF1_122_185,293,184,212,321,164,218,281,299
ABF1_133_196,172,73,229,429,558,52,48,43
ABF1_144_207,213,243,224,441,381,244,117,114
ABF1_155_218,269,2,189,159,773,110,0,257
ABF1_166_229,464,9,182,86,476,396,269,368
ABF1_177_240,1105,1,152,192,218,33,440,139
ABF1_188_251,231,383,401,198,515,115,404,240
ABF1_199_262,343,265,0,508,513,133,46,269
ABF1_210_273,1896,36,0,190,95,9,139,438
ABF1_221_284,10,2,91,369,5,22,119,60
ABF1_232_295,526,128,186,180,129,77,2,0
ABF1_243_306,659,59,88,6,346,161,62,350
ABF1_254_317,180,93,179,368,283,187,102,201
ABF1_265_328,637,17,119,277,202,21,370,1
ABF1_276_339,507,33,126,654,769,55,136,89
ABF1_287_350,1062,516,320,627,550,187,202,655
ABF1_298_361,508,8,142,242,135,182,530,80
ABF1_309_372,718,37,87,76,130,158,33,69
ABF1_320_383,648,1,104,181,127,101,42,141
ABF1_331_394,497,0,145,398,441,41,36,105
ABF1_342_405,8,59,172,573,1,53,102,166
ABF1_353_416,231,138,359,158,73,1,296,86
ABF1_364_427,190,53,65,242,131,48,0,34
ABF1_375_438,620,1,115,277,83,19,124,67
ABF1_386_449,401,172,391,162,1,295,160,77
ABF1_397_460,270,93,76,122,381,33,49,37
ABF1_408_471,920,166,428,1300,595,246,397,375
ABF1_419_482,141,6,414,517,469,54,361,437
ABF1_430_493,158,74,548,529,778,110,562,152
ABF1_441_504,787,29,189,253,380,63,339,166
ABF1_452_515,153,5,89,243,21,21,209,90
ABF1_463_526,1,185,308,121,756,63,53,4
ABF1_474_537,598,84,81,381,234,58,215,2
ABF1_485_548,442,3,419,115,400,4,173,30
ABF1_496_559,2,2,183,185,33,52,2,115
ABF1_507_570,195,205,156,545,568,222,603,496
ABF1_518_581,728,238,322,488,429,82,558,397
ABF1_529_592,672,11,527,623,258,75,295,453
ABF1_540_603,1499,3,687,468,431,508,161,337
ABF1_551_614,463,140,70,308,429,6,47,50
ABF1_562_625,1315,5,86,499,304,245,146,125
ABF1_573_636,494,7,286,276,3,100,163,154
ABF1_584_647,612,111,181,209,416,145,1,569
ABF1_595_658,544,65,142,270,214,218,75,54
ABF1_606_669,1347,68,214,240,305,9,264,560
ABF1_617_680,165,1,122,224,70,1,63,70
ABF1_628_691,207,4,189,258,385,67,135,56
ABF1_639_702,146,197,187,157,137,69,128,464
ABF1_650_713,209,0,183,210,100,66,0,178
ABF1_661_724,2,2,2,76,395,11,152,78
ABF1_668_731,133,60,1,11,333,115,52,0
ABF2_1_64,407,0,322,170,504,62,55,127
ABF2_12_75,624,5,99,328,3,305,505,110
ABF2_23_86,288,7,518,4,15,265,57,68
ABF2_34_97,192,54,161,317,156,2,0,80
ABF2_45_108,547,125,355,37,495,2,265,0
ABF2_56_119,5,194,215,328,44,35,2,112
ABF2_67_130,10,1,138,79,160,2,41,22
ABF2_78_141,13,1,34,163,1,1,148,73
ABF2_89_152,175,127,84,257,376,128,476,72
ABF2_100_163,128,169,30,167,405,141,240,407
ABF2_111_174,151,149,127,357,556,152,189,119
ABF2_120_183,10,77,3,454,200,87,24,28
ACA1_1_64,437,42,91,123,352,1,178,263
ACA1_12_75,322,1,333,217,315,176,202,302
ACA1_23_86,311,65,239,318,218,218,126,113
ACA1_34_97,308,131,206,443,983,214,224,157
ACA1_45_108,416,128,311,597,600,361,239,592
ACA1_56_119,615,53,96,528,612,384,185,105
ACA1_67_130,196,131,56,421,224,349,196,243
ACA1_78_141,48,298,334,532,545,217,261,109
ACA1_89_152,374,176,74,204,103,79,196,1
ACA1_100_163,541,186,126,204,237,5,98,25
ACA1_111_174,503,152,0,273,90,262,192,298
ACA1_122_185,41,239,386,200,4,327,240,219
