,1_0_1,1_0_2,1_60_1,1_60_2,2_0_1,2_0_2,2_60_1,2_60_2
ABF1_1_64,103,166,48,412,168,42,89,213
ABF1_12_75,188,2,230,376,41,241,16,204
ABF1_23_86,281,318,352,426,430,211,152,524
ABF1_34_97,9,904,325,53,21,101,90,408
ABF1_45_108,533,501,604,353,5,102,219,104
ABF1_56_119,719,163,434,60,148,529,399,226
ABF1_67_130,73,512,290,491,432,304,208,536
ABF1_78_141,348,6,251,177,281,259,136,145
ABF1_89_152,247,261,863,405,551,1004,248,283
ABF1_100_163,7,100,163,566,206,76,293,803
ABF1_111_174,616,1255,901,1273,93,353,462,611
ABF1_122_185,126,451,391,51,292,148,235,378
ABF1_133_196,121,323,88,242,220,15,178,242
ABF1_144_207,8,266,99,344,13,505,215,279
ABF1_155_218,798,460,320,441,419,4,314,327
ABF1_166_229,79,152,319,121,92,319,286,50
ABF1_177_240,507,559,222,387,252,180,212,301
ABF1_188_251,741,250,60,225,82,312,272,235
ABF1_199_262,957,222,403,426,813,479,241,327
ABF1_210_273,15,7,224,374,4,1314,366,145
ABF1_221_284,111,270,121,496,2,15,73,135
ABF1_232_295,233,187,203,231,417,155,219,134
ABF1_243_306,268,524,394,160,306,367,95,198
ABF1_254_317,356,103,307,66,220,183,371,319
ABF1_265_328,306,944,365,210,15,400,378,412
ABF1_276_339,408,148,674,442,117,113,351,374
ABF1_287_350,450,644,882,450,102,76,450,290
ABF1_298_361,355,85,380,461,200,524,233,442
ABF1_309_372,175,12,108,212,234,412,33,137
ABF1_320_383,268,5,515,173,87,21,0,272
ABF1_331_394,359,310,414,20,5,1,106,168
ABF1_342_405,137,181,468,569,36,19,275,167
ABF1_353_416,269,338,239,50,241,255,137,238
ABF1_364_427,2,336,411,531,281,200,279,106
ABF1_375_438,11,22,191,121,1,232,157,211
ABF1_386_449,240,326,314,92,310,875,4,358
ABF1_397_460,548,6,397,110,401,674,176,265
ABF1_408_471,477,1178,438,1276,232,436,202,1137
ABF1_419_482,426,292,685,637,349,412,436,439
ABF1_430_493,361,55,953,617,76,327,362,267
ABF1_441_504,292,84,19,345,90,5,313,329
ABF1_452_515,397,378,189,86,239,304,1,0
ABF1_463_526,89,870,38,419,104,642,138,234
ABF1_474_537,61,3,57,0,274,111,134,77
ABF1_485_548,91,580,248,447,321,158,137,202
ABF1_496_559,459,616,73,161,5,8,246,66
ABF1_507_570,310,1540,317,557,250,13,390,232
ABF1_518_581,427,166,416,1184,689,567,647,603
ABF1_529_592,1030,315,1003,1069,397,908,666,480
ABF1_540_603,355,576,295,716,139,303,455,450
ABF1_551_614,391,27,282,317,151,211,109,176
ABF1_562_625,298,258,295,278,232,248,501,118
ABF1_573_636,374,281,362,42,11,541,166,303
ABF1_584_647,100,178,229,173,192,265,233,190
ABF1_595_658,375,112,136,162,11,0,176,146
ABF1_606_669,501,563,552,246,614,277,356,133
ABF1_617_680,254,392,483,87,217,1,90,273
ABF1_628_691,213,3,0,9,207,229,169,194
ABF1_639_702,15,1195,0,179,323,119,79,377
ABF1_650_713,461,0,223,13,343,373,191,111
ABF1_661_724,211,414,57,397,7,346,71,0
ABF1_668_731,99,1060,1,220,120,317,114,71
ABF2_1_64,179,276,217,365,130,562,293,340
ABF2_12_75,523,443,75,298,369,60,158,238
ABF2_23_86,512,87,523,107,2,500,149,207
ABF2_34_97,38,62,107,293,3,506,87,125
ABF2_45_108,232,205,272,260,138,216,98,103
ABF2_56_119,4,0,185,78,10,274,32,301
ABF2_67_130,290,438,115,5,1,30,39,356
ABF2_78_141,280,250,409,123,341,5,71,226
ABF2_89_152,175,140,556,541,226,265,503,422
ABF2_100_163,203,40,69,102,357,475,126,194
ABF2_111_174,289,269,88,385,7,206,268,106
ABF2_120_183,269,244,140,342,5,254,154,86
ACA1_1_64,395,12,185,248,578,429,127,355
ACA1_12_75,869,767,180,371,237,180,198,137
ACA1_23_86,207,4,317,252,318,683,268,350
ACA1_34_97,666,464,227,622,102,670,88,448
ACA1_45_108,296,693,11,166,425,384,613,160
ACA1_56_119,383,580,344,486,189,203,245,275
ACA1_67_130,669,280,713,323,390,140,115,331
ACA1_78_141,394,80,749,257,224,206,485,110
ACA1_89_152,442,176,249,337,400,776,70,117
ACA1_100_163,143,180,292,167,459,358,317,550
ACA1_111_174,204,617,359,269,474,11,514,469
ACA1_122_185,674,227,193,431,170,67,179,370
ACA1_133_196,601,21,120,469,125,480,408,306
ACA1_144_207,648,662,84,535,714,895,485,414
ACA1_155_218,486,623,524,723,224,483,487,391
ACA1_166_229,423,650,821,388,451,293,647,949
ACA1_177_240,762,727,585,129,349,152,177,559
ACA1_188_251,363,260,373,279,5,460,231,338
ACA1_199_262,758,467,345,537,448,674,805,592
ACA1_210_273,604,814,676,500,477,918,662,511
ACA1_221_284,939,1383,426,811,228,644,572,950
ACA1_232_295,569,1812,828,951,829,989,733,715
ACA1_243_306,457,338,264,373,299,382,459,497
ACA1_254_317,405,131,357,338,58,577,160,270
ACA1_265_328,28,589,368,135,250,246,165,172
ACA1_276_339,121,255,228,80,5,155,222,411
ACA1_287_350,402,478,257,366,227,140,270,96
ACA1_298_361,424,460,317,274,153,920,241,0
ACA1_309_372,27,356,0,52,1,50,143,349
ACA1_320_383,400,238,203,82,401,3,42,46
ACA1_331_394,146,6,540,209,47,210,70,395
ACA1_342_405,588,457,182,232,319,247,118,242
ACA1_353_416,380,0,237,335,309,28,88,264
ACA1_364_427,179,332,265,299,477,86,281,284
ACA1_375_438,120,462,154,238,1,519,170,105
ACA1_386_449,169,417,248,190,96,323,48,245
ACA1_397_460,10,1,346,87,0,171,91,18
ACA1_408_471,689,726,329,758,2,162,344,427
ACA1_419_482,284,329,1260,636,319,206,403,847
ACA1_426_489,642,594,815,739,2,403,544,345
ACE2_1_64,374,163,260,354,12,321,159,152
ACE2_12_75,166,158,227,22,2,1,0,100
ACE2_23_86,115,295,61,228,7,55,166,301
ACE2_34_97,272,207,172,223,59,137,269,317
ACE2_45_108,97,735,317,110,6,163,234,164
ACE2_56_119,53,0,134,147,2,409,255,168
ACE2_67_130,254,319,157,320,251,45,98,296
ACE2_78_141,627,106,512,308,26,556,262,96
ACE2_89_152,341,439,738,496,111,4,46,193
ACE2_100_163,276,772,617,571,239,90,148,530
ACE2_111_174,182,387,256,434,156,416,335,731
ACE2_122_185,211,5,389,296,328,141,79,437
ACE2_133_196,160,26,512,877,229,635,519,593
ACE2_144_207,464,244,594,549,152,191,307,443
ACE2_155_218,550,236,206,485,156,277,162,338
ACE2_166_229,252,447,1,42,33,96,104,47
ACE2_177_240,386,60,385,321,459,0,177,173
ACE2_188_251,142,341,202,128,212,465,210,195
ACE2_199_262,529,312,685,679,482,521,262,698
ACE2_210_273,1534,702,990,680,444,382,1089,683
ACE2_221_284,374,1494,950,791,616,598,374,693
ACE2_232_295,141,9,449,430,115,81,92,322
ACE2_243_306,927,341,289,836,394,29,561,180
ACE2_254_317,475,387,239,892,401,135,455,452
ACE2_265_328,929,813,284,295,406,974,453,513
ACE2_276_339,532,7,89,305,310,588,289,209
ACE2_287_350,215,143,164,150,672,141,315,139
ACE2_298_361,338,153,215,450,160,169,187,161
ACE2_309_372,116,604,52,49,186,60,123,25
ACE2_320_383,101,37,29,50,68,84,129,215
ACE2_331_394,219,3,148,99,194,4,58,288
ACE2_342_405,310,43,258,304,1,93,268,74
ACE2_353_416,98,166,403,85,268,329,357,244
ACE2_364_427,323,7,321,162,44,150,203,139
ACE2_375_438,1021,295,743,328,56,376,382,215
ACE2_386_449,598,426,393,247,12,501,468,212
ACE2_397_460,614,569,290,287,505,35,539,173
ACE2_408_471,90,341,299,361,347,260,140,78
ACE2_419_482,7,1471,251,254,323,390,179,657
ACE2_430_493,695,863,734,430,778,496,151,288
ACE2_441_504,156,1022,308,403,161,6,56,358
ACE2_452_515,723,196,423,730,146,455,663,984
ACE2_463_526,184,228,402,379,4,167,41,279
ACE2_474_537,331,318,307,211,292,195,262,242
ACE2_485_548,407,623,389,641,477,155,235,202
ACE2_496_559,574,571,346,270,417,551,215,431
ACE2_507_570,574,528,207,353,3,225,66,252
ACE2_518_581,10,304,129,41,135,199,265,28
ACE2_529_592,423,951,536,371,522,806,74,348
ACE2_540_603,255,541,116,261,33,101,204,353
ACE2_551_614,387,424,118,345,685,390,138,272
ACE2_562_625,367,786,230,356,6,83,235,347
ACE2_573_636,471,912,759,585,124,773,680,634
ACE2_584_647,754,5,255,227,290,210,401,161
ACE2_595_658,491,102,1182,460,268,222,467,734
ACE2_606_669,24,1,351,288,322,82,141,454
ACE2_617_680,4,648,565,93,97,459,199,91
ACE2_628_691,254,222,264,279,79,274,130,422
ACE2_639_702,950,123,67,356,137,9,151,61
ACE2_650_713,120,750,381,302,0,771,87,245
ACE2_661_724,111,326,40,25,132,270,226,182
ACE2_672_735,0,2,30,274,281,1,102,102
ACE2_683_746,635,593,613,644,216,166,342,312
ACE2_694_757,161,845,110,173,9,437,25,213
ACE2_705_768,192,159,729,208,261,326,276,110
ACE2_707_770,84,4,408,227,312,316,182,140
ADR1_1_64,213,1,300,274,198,351,836,240
ADR1_12_75,369,330,0,166,141,407,268,236
ADR1_23_86,3,20,333,493,30,29,197,58
ADR1_34_97,64,683,222,192,48,273,521,584
ADR1_45_108,441,91,608,159,265,307,256,499
ADR1_56_119,173,158,0,218,22,2,256,117
ADR1_67_130,418,140,644,330,55,549,521,334
ADR1_78_141,6,485,282,303,160,10,369,497
ADR1_89_152,259,638,33,225,5,402,154,181
ADR1_100_163,98,0,10,137,2,149,140,236
ADR1_111_174,7,697,305,199,373,262,122,107
ADR1_122_185,356,330,361,288,385,238,436,291
ADR1_133_196,217,348,661,291,6,303,116,198
ADR1_144_207,1105,95,261,108,126,176,153,220
ADR1_155_218,239,6,364,643,161,39,388,173
ADR1_166_229,121,582,302,220,255,9,101,307
ADR1_177_240,244,657,59,286,78,173,66,76
ADR1_188_251,465,328,225,47,99,1,71,39
ADR1_199_262,360,1238,316,404,148,333,541,365
ADR1_210_273,739,868,402,187,428,5,377,71
ADR1_221_284,336,332,222,664,16,479,397,566
ADR1_232_295,669,477,358,121,339,267,247,510
ADR1_243_306,818,966,270,754,187,701,503,629
ADR1_254_317,522,801,711,561,514,457,474,624
ADR1_265_328,809,696,587,755,802,906,675,581
ADR1_276_339,117,343,567,250,65,352,136,204
ADR1_287_350,1096,590,983,503,66,608,798,1098
ADR1_298_361,530,42,258,442,315,128,172,315
ADR1_309_372,286,390,469,285,247,317,408,502
ADR1_320_383,866,88,195,419,163,206,125,324
ADR1_331_394,176,250,341,239,4,627,247,252
ADR1_342_405,200,111,333,305,20,257,249,220
ADR1_353_416,467,148,176,70,23,168,269,222
ADR1_364_427,212,373,184,464,239,576,150,515
ADR1_375_438,292,352,646,523,8,657,266,156
ADR1_386_449,337,444,144,420,2,250,113,83
ADR1_397_460,492,215,235,112,25,97,154,170
ADR1_408_471,288,69,215,253,269,9,134,117
ADR1_419_482,487,298,125,172,113,244,166,549
ADR1_430_493,514,215,85,112,8,3,202,68
ADR1_441_504,6,328,328,422,213,707,341,75
ADR1_452_515,82,454,212,77,190,296,96,109
ADR1_463_526,169,463,885,136,109,48,139,212
ADR1_474_537,185,624,219,357,87,85,53,334
ADR1_485_548,233,22,0,352,198,3,248,255
ADR1_496_559,239,206,0,157,30,91,31,169
ADR1_507_570,40,515,180,239,204,233,101,105
ADR1_518_581,627,739,56,41,21,194,244,153
ADR1_529_592,245,363,301,207,267,102,329,9
ADR1_540_603,333,379,588,606,228,157,215,154
ADR1_551_614,520,38,56,66,82,212,21,301
ADR1_562_625,933,3,757,552,711,425,154,198
ADR1_573_636,737,1045,396,282,296,47,484,225
ADR1_584_647,84,631,268,220,160,41,378,332
ADR1_595_658,1420,659,672,575,499,1162,674,620
ADR1_606_669,427,199,141,170,180,760,284,321
ADR1_617_680,728,119,657,433,271,464,454,333
ADR1_628_691,677,124,258,271,286,63,84,260
ADR1_639_702,342,871,220,399,3,2,268,178
ADR1_650_713,156,357,95,60,333,245,400,457
ADR1_661_724,385,652,271,185,12,819,81,440
ADR1_672_735,70,121,436,377,1000,78,407,405
ADR1_683_746,335,641,334,242,235,7,183,622
ADR1_694_757,105,349,50,478,420,563,106,140
ADR1_705_768,484,602,663,106,395,740,226,807
ADR1_716_779,392,604,377,285,105,161,215,389
ADR1_727_790,715,570,391,603,288,371,264,344
ADR1_738_801,953,302,226,476,66,502,124,350
ADR1_749_812,457,1540,423,690,249,1019,554,405
ADR1_760_823,888,1370,231,804,1197,240,359,347
ADR1_771_834,363,1339,285,337,218,945,175,499
ADR1_782_845,52,344,247,139,377,207,214,244
ADR1_793_856,28,363,215,453,508,523,285,372
ADR1_804_867,172,167,160,294,320,342,322,555
ADR1_815_878,130,32,589,202,266,25,113,189
ADR1_826_889,277,842,96,444,272,11,169,88
ADR1_837_900,190,221,141,268,131,334,427,255
ADR1_848_911,116,83,141,0,231,175,230,139
ADR1_859_922,45,35,160,113,72,2,86,177
ADR1_870_933,161,541,253,66,4,5,57,121
ADR1_881_944,26,444,451,70,8,41,61,208
ADR1_892_955,206,489,347,65,14,113,90,248
ADR1_903_966,121,299,117,84,406,5,219,195
ADR1_914_977,453,17,408,528,15,41,266,150
ADR1_925_988,422,499,301,67,246,293,164,212
ADR1_936_999,33,738,204,317,116,980,120,97
ADR1_947_1010,210,396,91,67,59,13,3,0
ADR1_958_1021,303,184,471,402,134,105,227,462
ADR1_969_1032,299,396,392,211,256,472,155,235
ADR1_980_1043,356,348,245,633,324,412,464,211
ADR1_991_1054,107,355,122,316,340,266,252,383
ADR1_1002_1065,300,411,385,169,202,429,566,1081
ADR1_1013_1076,442,782,1119,519,262,293,647,504
ADR1_1024_1087,351,407,863,794,436,630,494,488
ADR1_1035_1098,721,527,187,316,343,1177,339,300
ADR1_1046_1109,383,5,370,697,574,494,262,34
ADR1_1057_1120,146,852,337,274,153,118,352,324
ADR1_1068_1131,230,292,120,364,485,380,171,157
ADR1_1079_1142,13,676,549,208,4,260,139,318
